Steam Name, BuyOrderPrice
MP5-SD | Phosphor (Field-Tested),2.46652,
M4A4 | The Emperor (Field-Tested),15.38516,
MP7 | Nemesis (Factory New),5.313,
AK-47 | Fire Serpent (Field-Tested),359.40996,
Desert Eagle | Mecha Industries (Minimal Wear),4.62392,
AUG | Akihabara Accept (Field-Tested),367.6596,
AWP | Atheris (Well-Worn),1.4940799999999999,
Desert Eagle | Conspiracy (Factory New),4.30192,
StatTrak™ AK-47 | Blue Laminate (Field-Tested),13.08608,
AK-47 | The Empress (Battle-Scarred),20.85916,
★ Karambit | Autotronic (Field-Tested),425.67756,
SSG 08 | Dragonfire (Minimal Wear),8.60384,
StatTrak™ SSG 08 | Ghost Crusader (Minimal Wear),3.8060400000000003,
M4A1-S | Master Piece (Battle-Scarred),15.52684,
AK-47 | Frontside Misty (Field-Tested),11.592,
Glock-18 | Synth Leaf (Field-Tested),31.03436,
Five-SeveN | Angry Mob (Minimal Wear),4.64968,
CZ75-Auto | Crimson Web (Factory New),6.201720000000001,
Special Agent Ava | FBI,3.6708000000000003,
★ Classic Knife,204.70184,
AK-47 | Vulcan (Minimal Wear),102.26075999999999,
M4A1-S | Cyrex (Field-Tested),5.280799999999999,
StatTrak™ Glock-18 | Water Elemental (Field-Tested),9.19632,
StatTrak™ AK-47 | Rat Rod (Field-Tested),8.51368,
AK-47 | Case Hardened (Battle-Scarred),47.48212,
Blackwolf | Sabre,0.92736,
★ Hand Wraps | Badlands (Minimal Wear),197.386,
StatTrak™ AK-47 | Redline (Battle-Scarred),13.63992,
Seal Team 6 Soldier | NSWC SEAL,0.9724400000000001,
AK-47 | Rat Rod (Factory New),7.0582400000000005,
StatTrak™ AWP | Corticera (Minimal Wear),16.21592,
'The Doctor' Romanov | Sabre,2.07368,
StatTrak™ AWP | Atheris (Field-Tested),6.079359999999999,
StatTrak™ AK-47 | Cartel (Field-Tested),14.52864,
StatTrak™ USP-S | Cyrex (Field-Tested),3.2264399999999998,
StatTrak™ AWP | Elite Build (Field-Tested),10.52296,
StatTrak™ Tec-9 | Avalanche (Factory New),8.51368,
StatTrak™ AWP | Atheris (Battle-Scarred),4.025,
AK-47 | Safety Net (Field-Tested),5.4418,
StatTrak™ AWP | Oni Taiji (Factory New),410.86556,
AK-47 | Redline (Field-Tested),12.397,
AK-47 | Safety Net (Factory New),8.842120000000001,
StatTrak™ AK-47 | Elite Build (Minimal Wear),6.472200000000001,
Tec-9 | Decimator (Field-Tested),3.4454,
★ Hand Wraps | Slaughter (Field-Tested),201.12764,
Rezan The Ready | Sabre,0.8694000000000001,
AWP | Pink DDPAT (Battle-Scarred),11.21204,
The Elite Mr. Muhlik | Elite Crew,1.19784,
StatTrak™ USP-S | Stainless (Field-Tested),8.20456,
StatTrak™ AWP | Phobos (Field-Tested),3.27796,
AWP | Man-o'-war (Minimal Wear),13.524000000000001,
AK-47 | Neon Rider (Field-Tested),25.00652,
MAC-10 | Amber Fade (Factory New),5.609240000000001,
M4A1-S | Mecha Industries (Field-Tested),6.55592,
Lt. Commander Ricksaw | NSWC SEAL,2.55024,
MP9 | Pandora's Box (Minimal Wear),17.88388,
StatTrak™ MP5-SD | Gauss (Factory New),2.40212,
StatTrak™ MP7 | Nemesis (Minimal Wear),7.612080000000001,
P90 | Asiimov (Field-Tested),5.64144,
G3SG1 | Flux (Minimal Wear),5.313,
PP-Bizon | Judgement of Anubis (Field-Tested),4.1538,
Victory Pin,5.16488,
XM1014 | Tranquility (Factory New),9.67932,
AK-47 | Cartel (Minimal Wear),6.201720000000001,
Glock-18 | Reactor (Factory New),4.97168,
M4A1-S | Guardian (Field-Tested),5.96988,
